,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,Name,Album Name,Release Date
0,0.735,0.444,10,-10.519,1,0.0684,0.204,0.0012,0.17,0.0984,97.038,4g2c7NoTWAOSYDy44l9nub,202396,4,Lavender Haze,Midnights (3am Edition),2022-10-22
1,0.658,0.378,7,-8.3,1,0.0379,0.0593,0.0,0.0976,0.0382,108.034,199E1RRrVmVTQqBXih5qRC,218271,4,Maroon,Midnights (3am Edition),2022-10-22
2,0.638,0.634,4,-6.582,1,0.0457,0.133,1.23e-06,0.152,0.519,96.953,02Zkkf2zMkwRGQjZ7T4p8f,200690,4,Anti-Hero,Midnights (3am Edition),2022-10-22
3,0.659,0.323,9,-13.425,1,0.0436,0.735,0.00321,0.116,0.154,110.007,6ADDIJxxqzM9LMpm78yzQG,256124,4,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),2022-10-22
4,0.694,0.38,2,-10.307,1,0.0614,0.416,8.47e-06,0.126,0.376,120.044,7gVWKBcfIW93YxNBi3ApIE,194207,4,"You're On Your Own, Kid",Midnights (3am Edition),2022-10-22
5,0.636,0.377,0,-11.721,1,0.0708,0.71,6.51e-05,0.115,0.23,139.966,6Nl7KyvjkFncGsjB49SxLl,174783,4,Midnight Rain,Midnights (3am Edition),2022-10-22
6,0.751,0.502,7,-8.777,1,0.162,0.226,0.0,0.297,0.112,108.989,6C7OF1Jal7YkyjzyUG8vkK,210557,4,Question...?,Midnights (3am Edition),2022-10-22
7,0.87,0.279,4,-11.134,0,0.364,0.16,1.74e-05,0.121,0.16,79.996,5yeuXkukVGuix3vmLu2BPJ,164801,4,Vigilante Shit,Midnights (3am Edition),2022-10-22
8,0.7,0.55,7,-9.13,1,0.0653,0.0661,0.000102,0.091,0.412,164.003,0jvo9CjnbR0lYUDTSNTMiu,194166,4,Bejeweled,Midnights (3am Edition),2022-10-22
9,0.487,0.313,0,-15.434,1,0.0487,0.791,0.348,0.124,0.141,110.039,43q586vP8gGkYypKoSddhl,247962,4,Labyrinth,Midnights (3am Edition),2022-10-22
10,0.649,0.622,8,-7.054,1,0.0582,0.074,0.0,0.594,0.106,90.024,5oqDgw5VGBln5dSIOPWyBq,204852,4,Karma,Midnights (3am Edition),2022-10-22
11,0.334,0.161,0,-14.875,1,0.0506,0.967,4.71e-05,0.115,0.396,176.747,3zmwONxswBAzGwExPugSLN,188497,4,Sweet Nothing,Midnights (3am Edition),2022-10-22
12,0.661,0.352,4,-14.077,1,0.117,0.571,0.00147,0.0884,0.13,125.934,56hioFjQ0DXrdn04hZcFgG,191039,4,Mastermind,Midnights (3am Edition),2022-10-22
13,0.573,0.741,5,-8.987,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,3UMrglJeju5yWyYIW6o99b,240356,4,The Great War,Midnights (3am Edition),2022-10-22
14,0.422,0.235,6,-12.379,1,0.0568,0.826,0.00648,0.115,0.068,165.71,0BiqmkasE5FdrChwKfVp8X,218503,4,Bigger Than The Whole Sky,Midnights (3am Edition),2022-10-22
15,0.7,0.509,7,-10.547,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947,7712gjoih4QoDbXpljEk21,196259,4,Paris,Midnights (3am Edition),2022-10-22
16,0.646,0.529,10,-10.179,1,0.0864,0.723,0.0,0.0885,0.755,87.862,5kiZGSxgqPdv6rbqL9THdd,231475,4,High Infidelity,Midnights (3am Edition),2022-10-22
17,0.675,0.466,11,-9.738,0,0.201,0.361,0.0,0.11,0.347,140.864,6wAFvJPpTZVirBKGZ4EnMW,148781,4,Glitch,Midnights (3am Edition),2022-10-22
18,0.483,0.84,7,-6.508,1,0.119,0.43,0.000575,0.146,0.55,157.979,0aV5uARAknQgYhBaK944FP,260362,4,"Would've, Could've, Should've",Midnights (3am Edition),2022-10-22
